Name,2018/19,2019/20,2020/21,2021/22,2022/23,May2023/24,Action
India,"27,500","27,000","28,000","29,000","29,500","31,000",consumption
European_Union,"17,000","17,000","16,700","17,000","17,000","17,000",consumption
China,"15,800","15,400","15,500","14,800","15,500","15,600",consumption
United_States,"10,982","11,109","11,032","11,314","11,498","11,499",consumption
Brazil,"10,600","10,650","10,150","9,500","9,500","9,542",consumption
Indonesia,"7,055","7,356","7,445","7,600","7,800","7,900",consumption
Russia,"6,110","6,820","5,804","6,350","6,500","6,450",consumption
Pakistan,"5,400","5,540","5,750","6,000","6,150","6,300",consumption
Mexico,"4,317","4,349","4,171","4,342","4,330","4,414",consumption
Egypt,"3,100","3,250","3,340","3,430","3,320","3,400",consumption
Turkey,"2,784","2,999","2,914","3,020","3,400","3,400",consumption
Thailand,"2,480","2,360","2,350","3,000","3,100","3,210",consumption
Bangladesh,"2,519","2,480","2,416","2,769","2,428","2,680",consumption
Iran,"2,450","2,176","2,821","2,613","2,554","2,590",consumption
Vietnam,"1,597","2,064","2,074","2,269","2,439","2,529",consumption
Philippines,"2,300","2,300","2,275","2,300","2,000","2,200",consumption
Malaysia,"1,991","1,877","1,823","1,675","1,785","2,000",consumption
Ethiopia,832,787,"1,642","2,057","1,825","1,965",consumption
Japan,"1,980","1,965","1,883","1,827","1,870","1,910",consumption
Algeria,"2,080","2,124","1,936","1,889","1,682","1,897",consumption
Colombia,"1,858","1,862","1,850","1,865","1,880","1,890",consumption
Sudan,"1,627","1,958","1,589","1,729","1,789","1,844",consumption
South_Africa,"1,770","1,520","1,670","1,710","1,750","1,776",consumption
Korea_South,"1,668","1,623","1,614","1,688","1,690","1,740",consumption
Nigeria,"1,610","1,620","1,610","1,600","1,620","1,600",consumption
Other,"34,584","33,063","33,139","32,314","33,097","33,709",consumption
Total,"171,994","171,252","171,498","173,661","176,007","180,045",consumption
