Name,2018/19,2019/20,2020/21,2021/22,2022/23,May2023/24,Action
India,"17,614","14,614","13,213","9,506","6,506","5,506",ending
Pakistan,"1,920","1,685","2,752","3,812","3,522","3,532",ending
Indonesia,"2,300","1,941","2,653","2,370","2,330","2,210",ending
Thailand,"8,330","7,569","9,067","9,212","6,152","2,142",ending
China,"5,408","4,027","5,374","5,014","2,712","1,862",ending
European_Union,"1,260","2,076","1,106","1,384","1,370","1,440",ending
Philippines,"1,234","1,289","1,196",931,"1,461","1,358",ending
United_States,"1,618","1,468","1,547","1,652","1,573","1,310",ending
Mexico,"1,239",910,"1,116","1,022",943,951,ending
Brazil,220,590,340,340,690,760,ending
Russia,550,609,565,624,992,557,ending
Bangladesh,510,495,485,553,485,540,ending
Iran,485,430,565,525,510,520,ending
Vietnam,320,415,415,455,485,505,ending
Japan,495,495,475,460,475,500,ending
Korea_South,415,405,405,420,420,425,ending
Zimbabwe,36,60,82,186,295,406,ending
Malaysia,395,375,365,335,360,400,ending
Ethiopia,165,160,330,410,365,390,ending
Algeria,420,430,387,377,336,375,ending
Sudan,325,395,320,345,360,370,ending
Ecuador,389,351,324,359,344,339,ending
Costa_Rica,278,290,299,325,335,330,ending
Canada,265,250,280,272,295,315,ending
Ukraine,58,273,369,504,119,313,ending
Other,"6,578","6,050","6,209","5,979","6,030","6,099",ending
Total,"52,827","47,652","50,239","47,372","39,465","33,455",ending
