Name,2018/19,2019/20,2020/21,2021/22,2022/23,May2023/24,Action
Brazil,"29,500","30,300","42,050","35,450","38,050","42,010",production
India,"34,300","28,900","33,760","36,880","32,000","36,000",production
European_Union,"16,750","17,040","15,216","16,497","14,899","15,475",production
Thailand,"14,581","8,294","7,587","10,157","11,040","11,200",production
China,"10,760","10,400","10,600","9,600","9,000","10,000",production
United_States,"8,164","7,392","8,376","8,307","8,420","8,369",production
Pakistan,"5,270","5,340","6,505","7,560","6,860","7,110",production
Russia,"6,080","7,800","5,625","6,000","7,184","6,336",production
Mexico,"6,812","5,596","6,058","6,556","5,708","6,254",production
Australia,"4,725","4,285","4,335","4,120","4,200","4,400",production
Turkey,"2,700","2,750","3,100","2,650","3,000","3,000",production
Egypt,"2,405","2,740","2,780","2,855","2,760","2,785",production
Indonesia,"2,200","2,250","2,130","2,300","2,400","2,600",production
Guatemala,"2,966","2,764","2,565","2,575","2,558","2,575",production
Colombia,"2,400","2,350","2,240","2,300","2,300","2,350",production
South_Africa,"2,257","2,295","2,106","1,906","1,994","2,174",production
Philippines,"2,100","2,150","2,143","1,800","1,830","1,900",production
Argentina,"1,570","1,750","1,830","1,700","1,670","1,690",production
Iran,"1,520","1,010","1,535","1,600","1,550","1,600",production
Ukraine,"1,753","1,638","1,240","1,450","1,330","1,510",production
Peru,"1,262","1,197","1,197","1,260","1,320","1,300",production
United_Kingdom,"1,133","1,191",985,"1,025","1,040","1,050",production
Vietnam,"1,300",850,750,820,950,975,production
Japan,780,825,815,810,810,810,production
El_Salvador,788,827,784,807,785,805,production
Other,"15,082","14,625","13,802","13,598","13,621","13,603",production
Total,"179,158","166,559","180,114","180,583","177,279","187,881",production
